id,type,substrate2,substrate3,time,group,rep,prt,cho,lip,phaeopigments,chlorophyll,bpc,cpe,muf,mca,auto,o2,dic,nh4,no3
AN1,dna,Bare,Bare_T0,T0,sample,R1,5.496,0.5,0.686,16.19,9.11,3.40749747880813,25.3020919599469,9,300.147410259883,0.297016706451645,236.27,2930.21,6.75,7.04
AN10,dna,Bare,Bare_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,349.963896800331,NA,0,3776.81,28.29,17.52
AN11,dna,Bare,Bare_T1,T1,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,334.918178644113,NA,0,3829.68,37.82,0
AN12,dna,Bare,Bare_T1,T1,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,342.85983497759,NA,0,3559.48,23.16,14.33
AN13,dna,Seagrass,Seagrass_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,308.372295491591,NA,0,3833.15,55.4,17.81
AN14,dna,Seagrass,Seagrass_T1,T1,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,240.574910231365,NA,0,5253.43,57.27,55.52
AN15,dna,Seagrass,Seagrass_T1,T1,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4246.59,39.72,14.41
AN16,dna,Macroalgae,Macroalgae_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,230.701569007886,NA,0,5651.12,123.12,80.01
AN17,dna,Macroalgae,Macroalgae_T1,T1,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,189.123753781334,NA,0,4439.91,60.57,18.56
AN18,dna,Macroalgae,Macroalgae_T1,T1,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,226.130666431387,NA,0,4438.38,106.57,57.5
AN19,dna,Bare,Bare_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,55.8060180356913,NA,245.34,3111.24,10.37,10.25
AN2,dna,Bare,Bare_T0,T0,sample,R2,5.554,0.563,0.695,16.51,9.25,3.46799934053504,25.7652381481408,8.6,254.502698833677,0.297176967100182,233.49,2988.35,2.99,2.21
AN20,dna,Bare,Bare_1C,T1,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,67.1158644757077,NA,243.28,3121.37,12.73,7.17
AN21,dna,Bare,Bare_1C,T1,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.25,3115.2,9.44,14.86
AN22,dna,Seagrass,Seagrass_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.22,3046.72,9.22,11.03
AN23,dna,Seagrass,Seagrass_1C,T1,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,16.456307469313,NA,238.13,3040.26,12.06,8.08
AN24,dna,Seagrass,Seagrass_1C,T1,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,23.6186628656876,NA,248.43,2917.61,16.59,10.33
AN25,dna,Macroalgae,Macroalgae_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,49.8132868042979,NA,240.19,3362.61,13.06,8.94
AN26,dna,Macroalgae,Macroalgae_1C,T1,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.03,3310.32,14.06,22.37
AN27,dna,Macroalgae,Macroalgae_1C,T1,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,66.2373345120235,NA,236.06,3170.05,12.5,5.75
AN28,dna,Bare,Bare_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,106.274825423685,NA,232.49,3063.52,8.19,23.12
AN29,dna,Bare,Bare_T2,T2,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,80.2215886900261,NA,239.25,3002.07,8.16,10.9
AN3,dna,Bare,Bare_T0,T0,sample,R3,5.437,0.438,0.677,15.86,8.98,3.34699561708122,24.8389457717529,9.3,256.541352008104,0.296850651909893,233.49,2934.07,4.86,4.01
AN30,dna,Bare,Bare_T2,T2,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.95,3051.23,7.49,10.15
AN31,dna,Seagrass,Seagrass_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,226.626663624238,NA,236.34,3083.84,8,15.32
AN32,dna,Seagrass,Seagrass_T2,T2,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,219.018202226577,NA,243.33,3010.83,7.94,9.3
AN33,dna,Seagrass,Seagrass_T2,T2,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,330.875203823121,NA,238.37,3055.32,8.51,14.43
AN34,dna,Macroalgae,Macroalgae_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.84,3079.6,8.49,11.49
AN35,dna,Macroalgae,Macroalgae_T2,T2,sample,R2,NA,NA,NA,NA,NA,NA,NA,NA,189.766365221103,NA,239.58,3069.68,8.59,10.68
AN36,dna,Macroalgae,Macroalgae_T2,T2,sample,R3,NA,NA,NA,NA,NA,NA,NA,NA,186.824733113111,NA,237.4,3084.19,8.89,9.72
AN37,dna,Bare,Bare_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,83.4827031021173,NA,239.25,3013.1,7.72,14.01
AN38,dna,Bare,Bare_2C,T2,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,87.6341831212957,NA,239.25,3008.81,7.75,12.45
AN39,dna,Bare,Bare_2C,T2,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.55,3034.19,8.43,10.55
AN4,dna,Macroalgae,Macroalgae_T0,T0,sample,R3,4.273,0.077,0.367,17.29,16.8,2.40012133565868,34.0982283188647,NA,91.5,0.568275075301673,222.37,2925.13,2.5,5.38
AN40,dna,Macroalgae,Macroalgae_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,302.201015220382,NA,237.4,3086.96,8.51,10.6
AN41,dna,Macroalgae,Macroalgae_2C,T2,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,198.62686186513,NA,236.31,3091.94,8.5,11.73
AN42,dna,Macroalgae,Macroalgae_2C,T2,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.22,3070.11,8.04,10.47
AN43,dna,Seagrass,Seagrass_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,223.043764725731,NA,237.58,3055.66,8.39,7.68
AN44,dna,Seagrass,Seagrass_2C,T2,control,R2,NA,NA,NA,NA,NA,NA,NA,NA,283.870581821254,NA,237.25,3055.16,8.16,13.89
AN45,dna,Seagrass,Seagrass_2C,T2,control,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.21,3060.18,8.54,12.99
AN5,dna,Macroalgae,Macroalgae_T0,T0,sample,R1,4.752,0.082,0.417,20.84,16.84,2.67370323004092,37.6790510069119,5.7,140.4,0.563698327975394,216.81,2922.09,3.84,4.3
AN6,dna,Macroalgae,Macroalgae_T0,T0,sample,R2,3.793,0.073,0.318,13.75,16.77,2.12653944127644,30.5174056308175,10.4,NA,0.574029430886073,222.37,2880.82,4.56,3.07
AN7,dna,Seagrass,Seagrass_T0,T0,sample,R1,5.749,0.633,0.42,14.15,10.92,3.38536952778812,25.0677071595977,9.9,39.6,0.296188725677767,225.91,2904.3,4.18,4.86
AN8,dna,Seagrass,Seagrass_T0,T0,sample,R2,6.589,0.804,0.524,18.87,11.46,3.9432569904463,30.3359658256827,11.2,NA,0.307724968463181,235.47,2906.25,5.08,2.47
AN9,dna,Seagrass,Seagrass_T0,T0,sample,R3,4.909,0.461,0.317,9.42,10.38,2.82748206512993,19.7994484935127,NA,33.6,0.2801000754373,223.31,2830.44,4.65,4.39
B1,cdna,Bare,Bare_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B10,cdna,Seagrass,Seagrass_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B11,cdna,Bare,Bare_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B12,cdna,Seagrass,Seagrass_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B13,cdna,Bare,Bare_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B14,cdna,Macroalgae,Macroalgae_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B15,cdna,Seagrass,Seagrass_2C,T2,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B2,cdna,Macroalgae,Macroalgae_T2,T2,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B3,cdna,Bare,Bare_T0,T0,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B4,cdna,Macroalgae,Macroalgae_T0,T0,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B5,cdna,Seagrass,Seagrass_T0,T0,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B6,cdna,Macroalgae,Macroalgae_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B7,cdna,Seagrass,Seagrass_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B8,cdna,Bare,Bare_T1,T1,sample,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
B9,cdna,Macroalgae,Macroalgae_1C,T1,control,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
